#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
21,"you should see me in a crown","Billie Eilish",150,12B,53,2026-02-07,03:00,76,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,68,46,22,32,10,10,-10,E Major,4,3XF5xLJHOQQRbWya6hBp7d,USUM71810049
22,"Everybody Supports Women","SOFIA ISELLA",110,8B,50,2026-02-07,04:41,62,"pop singer-songwriter","Everybody Supports Women",2023-09-01,56,26,0,24,0,10,-8,C Major,4,1pqjOgonZC2T3bB9JAl3Uz,TCAHH2321644
23,"Bad Girls","M.I.A.",143,3B,91,2026-02-07,03:47,74,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
24,"Rät","Penelope Scott",144,4A,45,2026-02-07,03:14,70,"","Public Void",2020-09-25,61,33,0,31,20,10,-13,F Minor,4,4blPH3Uy89WnOnYlIv7Ev4,QZK6F2019397
25,"What Was I Made For? [From The Motion Picture  Barbie ]","Billie Eilish",79,8B,8,2026-02-07,03:42,85,"","What Was I Made For? [From The Motion Picture  Barbie ]",2023-07-13,39,95,0,11,0,10,-18,C Major,4,6wf7Yu7cxBSPrRlWeSeK0Q,USUM72307484
26,"A Woman's Worth","Alicia Keys",75,9A,41,2026-02-07,05:03,59,"r&b, neo soul","Songs In A Minor",2001-06-05,65,33,0,50,10,0,-8,E Minor,4,0rimetBQIYXE3uMCbuXBUa,USJAY0100060
27,"The Fate of Ophelia","Taylor Swift",124,7B,61,2026-02-07,03:46,85,"","The Life of a Showgirl",2025-10-03,73,28,0,54,0,10,-5,F Major,4,31TXxq8gfgYyrYClnYY48m,USUG12506436
28,"Please Please Please","Sabrina Carpenter",107,11B,59,2026-02-07,03:06,79,"pop","Please Please Please",2024-06-06,67,27,0,58,0,10,-6,A Major,4,5N3hjp1WNayUPZrA8kJmJP,USUM72404101
29,"Oru Kari Mukilinu - From  Charlie ","Gopi Sundar,Vijay Prakash,Rafeeq Ahammed",121,1A,54,2026-02-07,04:42,59,"mollywood, malayalam pop, tollywood, kannada pop, sandalwood, telugu pop, tamil pop, kollywood","Charlie",2015-12-07,47,75,0,60,0,0,-8,G#/A♭ Minor,1,6JGYPTN7JGHMnzLDQiIdlT,INM811457467
30,"Solar Power","Lorde",88,12B,48,2026-02-07,03:12,60,"","Solar Power",2021-08-20,73,24,0,88,0,30,-9,E Major,4,7s2kWabRM60W9I61HpKg8C,NZUM72100178
31,"If I Were a Boy","Beyoncé",90,2B,50,2026-02-07,04:09,73,"","I AM...SASHA FIERCE - Platinum Edition",2008-00-00,63,10,0,49,0,30,-6,F#/G♭ Major,4,1oQZk2bKBLgP1cbuFKvjkq,USSM10803202
32,"Diva","Beyoncé",146,11A,55,2026-02-07,03:20,70,"","I AM...SASHA FIERCE - Platinum Edition",2008-00-00,87,5,1,86,30,0,-7,F#/G♭ Minor,4,6GQuF9vzJAVs7fYN9ftBdP,USSM10804755
33,"Don't Stop The Music","Rihanna",123,11A,67,2026-02-07,04:27,85,"","Good Girl Gone Bad: Reloaded",2008-06-02,83,3,0,55,0,0,-6,F#/G♭ Minor,4,0ByMNEPAPpOR5H69DVrTNy,USUM70734700
34,"All The Stars (with SZA) - From  Black Panther: The Album ","Kendrick Lamar,SZA",97,4B,63,2026-02-07,03:52,90,"hip hop, west coast hip hop, r&b","Black Panther The Album Music From And Inspired By",2018-02-09,70,6,0,56,0,0,-5,G#/A♭ Major,4,3GCdLUSnKSMJhs4Tj6CV3s,USUM71713947
35,"Just Keep Watching (From F1® The Movie)","Tate McRae,F1 The Album",130,8A,80,2026-02-07,02:22,88,"","Just Keep Watching (From F1® The Movie)",2025-05-30,66,8,0,43,10,50,-6,A Minor,4,2yWlGEgEfPot0lv3OAjuG3,USAT22503497
36,"Young And Beautiful","Lana Del Rey",114,10A,42,2026-02-07,03:56,89,"","Young And Beautiful",2013-01-01,32,26,0,15,0,10,-9,B Minor,4,2nMeu6UenVvwUktBCpLMK9,GBUM71301823
37,"Gimme More","Britney Spears",113,10B,84,2026-02-07,04:11,85,"pop","Blackout",2007-10-25,79,25,0,38,0,0,-3,D Major,4,6ic8OlLUNEATToEFU3xmaH,USJI10700609
38,"Gabriela","KATSEYE",146,9B,75,2026-02-07,03:17,93,"k-pop","Gabriela",2025-06-20,65,18,0,62,0,30,-5,G Major,4,1xOqGUkyxGQRdCvGpvWKmL,USUM72503465
39,"Espresso","Sabrina Carpenter",104,8B,78,2026-02-07,02:55,87,"pop","Short n' Sweet",2024-08-23,70,13,0,71,0,20,-5,C Major,4,2HRqTpkrJO5ggZyyK6NPWz,USUM72403305
40,"End of Beginning","Djo",160,10B,45,2026-02-07,02:39,100,"","DECIDE",2022-09-16,69,4,0,91,0,0,-8,D Major,4,3qhlB30KknSejmIvZZLjOD,GBKPL2205058
41,"Wildest Dreams","Taylor Swift",140,4B,66,2026-02-07,03:40,76,"","1989",2014-01-01,55,7,1,47,0,10,-7,G#/A♭ Major,4,3fVnlF4pGqWI9flVENcT28,USCJY1431379
42,"Woman","Doja Cat",108,4A,76,2026-02-07,02:52,84,"","Planet Her",2021-06-25,82,9,0,88,0,10,-4,F Minor,4,6Uj1ctrBOjOas8xZXGqKk4,USRC12101532
43,"MIDDLE OF THE NIGHT","Elley Duhé",93,9A,66,2026-02-07,03:04,67,"","PHOENIX",2023-10-27,53,3,0,10,0,10,-7,E Minor,3,6MjFokdLikiykDHUlDRsax,USRC11903813
44,"Poker Face","Lady Gaga",119,12B,81,2026-02-07,03:57,85,"art pop, pop","The Fame",2008-01-01,85,12,0,77,0,10,-5,E Major,4,1QV6tiMFM6fSOKOGLMHYYg,USUM70824409
45,"Skyfall","Adele",76,5A,55,2026-02-07,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
46,"Omalaale - From  Not so Hip-Hop ","Hatsmyth,Lil PAYYAN,EKAN",100,3B,74,2026-02-07,03:51,46,"malayalam pop, mollywood, malayalam hip hop","Omalaale (From  Not so Hip-Hop )",2025-09-02,76,66,0,70,10,30,-7,C♯/D♭ Major,4,6w98geVbyM9CfkWrcEBd9o,FRX872591375
47,"Kathu Paattu - From  The Indie Radar ","Raaza Razaq,Sachin Balu",140,4B,51,2026-02-07,03:43,56,"ghazal, malayalam pop, mollywood","Kathu Paattu (From  The Indie Radar )",2025-11-08,78,21,0,55,0,0,-10,G#/A♭ Major,4,60dcGLWh3LuGi70csvIPM3,DGA072515458
48,"Vazhikatti - Kizhakku Suryan","Fejo,Jeffin Jestin,Daleema",89,3A,72,2026-02-07,02:22,69,"malayalam hip hop, malayalam pop, mollywood, devotional","Vazhikatti (Kizhakku Suryan)",2025-12-03,66,15,0,94,20,30,-3,A#/B♭ Minor,4,1UpbpQDIKTc1XxRyF3Xgi0,INS172516836
49,"Welcome To Mollywood (From  Maine Pyar Kiya )","Rish NK,electronic kili,Muthu",125,10A,90,2026-02-07,03:28,66,"malayalam hip hop, malayalam pop, mollywood","Welcome To Mollywood (From  Maine Pyar Kiya )",2025-08-28,79,28,0,84,0,30,-6,B Minor,4,4fEommZNa1Xxv4R4VTyTGP,INS182503308
50,"Kokkedelic","Bibin Ashok,The Imbachi,Bhadra Rajin",142,11A,81,2026-02-07,03:26,43,"malayalam hip hop, malayalam pop, mollywood","Sahasam",2025-09-23,73,0,1,43,10,10,-8,F#/G♭ Minor,4,2TC8ZwvUaEJYZRBWh7uysN,INH102504797
51,"Paranje Paranje","Jakes Bejoy,Anuradha Sriram,B.K. Harinarayanan",112,2B,66,2026-02-07,05:33,47,"malayalam pop, mollywood, malayalam hip hop, tamil dance, tamil pop, kannada pop, kollywood","Lokah - Chapter 1: Chandra (Original Motion Picture Soundtrack)",2025-09-19,29,50,18,39,0,10,-9,F#/G♭ Major,5,2coOGc1L5QCfZMia92U83J,INA982500387
52,"CHEMBARATHI","Lil PAYYAN,AZWIN",90,10A,60,2026-02-07,03:13,55,"malayalam hip hop, malayalam pop, tamil hip hop","CHEMBARATHI",2026-01-30,72,36,0,26,0,0,-7,B Minor,4,6PYDvt362YQfghK6cfSpi8,QM4TW2697893
53,"Sakhiye","Amrit Ramnath,Sithara Krishnakumar,Vinayak Sasikumar",95,9B,52,2026-02-07,03:25,42,"tamil indie, mollywood, malayalam pop, malayalam hip hop","Sakhiye",2025-08-29,41,21,0,52,10,20,-6,G Major,4,4upAE5wtqGhu5UKRnYOmRD,INS172514675
54,"mullapoo","raze,ZÆD",75,5A,67,2026-02-07,01:59,33,"malayalam hip hop, tamil hip hop","mullapoo",2025-08-29,67,4,0,32,10,50,-8,C Minor,4,5yGsWuNRYcoa07zNz9pZwy,INP2X2500021
55,"Ole Melody","Haricharan,Benny Dayal,Salim Kumar,Vishnu Vijay",100,8B,45,2026-02-07,04:02,45,"mollywood, tamil pop, tollywood, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop, bollywood, desi, hindi pop, malayalam hip hop","Ole Melody (From  Thallumaala )",2022-07-01,75,13,0,83,30,20,-11,C Major,4,1rMEccgwbKt3qmAXeBqOyZ,INM812200106
56,"Malabari Banger","M.H.R,JOKER390P,SA,Dabzee",80,3A,64,2026-02-07,04:05,62,"malayalam hip hop, malayalam pop, mollywood, tamil hip hop","Malabari Banger",2023-09-02,74,5,3,74,10,0,-8,A#/B♭ Minor,4,1EZspaigWxMos36accKNMM,GBKQU2380727
57,"Mandaarame","Job Kurian,Shaan Rahman",130,1B,61,2026-02-07,03:24,53,"mollywood, malayalam pop, malayalam hip hop","Ohm Shanthi Oshaana (Original Motion Picture Soundtrack)",2014-01-27,76,17,0,84,0,0,-11,B Major,4,7bueBYQyoJGDmw4hng371j,INT201400624
58,"Ashubha Mangalakaari","Justin Varghese,Sarath Chettanpady,Meera Johny",100,10A,55,2026-02-07,04:02,40,"malayalam pop, mollywood, malayalam hip hop","Super Sharanya",2022-03-04,94,17,0,49,20,0,-7,B Minor,4,5CGlRcSIrs2hbRmlF8vT90,INH102105647
59,"Athiru Kaakkum","Gowry Lekshmi",138,7B,64,2026-02-07,03:42,38,"mollywood, malayalam pop, malayalam hip hop","Athiru Kaakkum",2019-03-15,70,14,0,39,0,20,-7,F Major,4,6kwkD4YCRU4pH1NeY1vqt6,uscgj1956003
60,"Vellarathaaram (From  Sarvam Maya )","Justin Prabhakaran,Vineeth Sreenivasan,Manu Manjith",100,10B,67,2026-02-07,04:39,70,"tollywood, telugu pop, mollywood, malayalam pop, tamil pop","Vellarathaaram (From  Sarvam Maya )",2025-12-23,72,23,0,25,0,0,-7,D Major,4,2LzLaaGYFBzg7esTGqmpDR,US6R22582015
61,"Panjara Punch - From  Alappuzha Gymkhana ","Vishnu Vijay,Anthony Daasan,Suhail Koya",160,9A,75,2026-02-07,02:45,55,"malayalam pop, mollywood, malayalam hip hop, tamil dance, tamil pop, kollywood, kannada pop, tamil hip hop","Panjara Punch (From  Alappuzha Gymkhana )",2025-04-02,72,10,0,69,20,0,-8,E Minor,4,2ogcJnC4TJ6DBkBsR2KU1y,INT202505567
62,"Mini Maharani (From  Premalu )","Vishnu Vijay,Suhail Koya,Kapil Kapilan,Vagu Mazan",136,9B,83,2026-02-07,04:05,56,"malayalam pop, mollywood, malayalam hip hop, kollywood, kannada pop, tamil pop, tollywood, tamil dance","Mini Maharani (From  Premalu )",2024-02-03,79,11,0,89,0,30,-6,G Major,4,2CPjVH7irjP1H9Na7VbhrN,IND292213410
63,"Thumbi Penne - From  Bangalore Days ","Gopi Sundar,Siddharth Menon,Santhosh Varma",98,11B,58,2026-02-07,05:04,56,"mollywood, malayalam pop, tollywood, malayalam hip hop","Bangalore Days",2014-05-12,88,23,0,83,0,10,-8,A Major,4,63NYWNTkfUQFXgW2AyStfY,INM811457697
64,"Ponnin Kanikkonna - Wow Song","Shaan Rahman,Sithara Krishnakumar",125,9B,41,2026-02-07,04:13,61,"mollywood, malayalam pop, malayalam hip hop","Godha (Original Motion Picture Soundtrack)",2017-04-02,63,43,0,41,0,0,-9,G Major,4,2vlKq5QOOwN8jICCkEhvDt,INS321704992
65,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2026-02-07,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
66,"Shoka Mookam (From  Lokah - Chapter 1: Chandra )","JK,Benny Dayal,Pranavam Sasi,J'mymah,Vinayak Sasikumar",127,2A,84,2026-02-07,04:08,58,"mollywood, malayalam pop, malayalam hip hop, bollywood, desi, hindi pop","Shoka Mookam (From  Lokah - Chapter 1: Chandra )",2025-09-02,69,13,10,56,0,10,-7,D#/E♭ Minor,4,2kpfmXe5dI5ePEc5SUO7xJ,INA982500309
67,"Vaa Vaa Pakkam Vaa - Remix","DJ Gowtham,Ilaiyaraaja,S. P. Balasubrahmanyam,Vani Jairam",83,4A,65,2026-02-07,01:24,64,"tamil dance, tamil pop, kollywood, telugu pop, kannada pop, devotional, tollywood, sandalwood, malayalam pop, bhajan","Vaa Vaa Pakkam Vaa (Remix)",2025-03-31,80,31,93,66,0,10,-10,F Minor,4,2C5aF4dKohAcZwoDPWj87K,INS172501116
68,"Oorum Blood","Sai Abhyankkar,Paal Dabba,Bhumi,Deepthi Suresh",130,3A,63,2026-02-07,04:00,74,"tamil indie, kollywood, tamil pop, tamil hip hop, malayalam hip hop, tamil dance","Dude (Original Motion Picture Soundtrack)",2025-10-26,70,36,0,52,0,10,-9,A#/B♭ Minor,4,4pCXTYAPgdzMTCsDdDwjy3,INT202506147
69,"Nilaa Kaayum (From  Kalamkaval )","Mujeeb Majeed,Sindhu Delson,Vinayak Sasikumar",80,2B,52,2026-02-07,01:52,57,"mollywood, malayalam pop, malayalam hip hop","Nilaa Kaayum (From  Kalamkaval )",2025-11-11,65,77,4,60,0,30,-8,F#/G♭ Major,4,1XulLUGJdrVNJqRjW0GW2z,INA982500420
70,"Sambrani Penthiri","Ankit Menon,Adheef Muhamed,Vinayak Sasikumar",156,5A,59,2026-02-07,03:17,49,"malayalam pop, mollywood, malayalam hip hop, tamil hip hop","Vyasana Sametham Bandhu Mithradhikal (Original Motion Picture Soundtrack)",2025-06-24,71,62,2,62,20,10,-9,C Minor,3,4hff8ewuPRz8EB1BnZDd1b,INS172501797
71,"Everyday","Vishnu Vijay,Sanjith Hegde,Suhail Koya",135,12A,77,2026-02-07,02:25,41,"malayalam pop, mollywood, malayalam hip hop, kannada pop, sandalwood","Alappuzha Gymkhana (Original Motion Picture Soundtrack)",2025-04-19,69,4,0,73,0,20,-8,C♯/D♭ Minor,4,3Zj6x8hixr07Byou5DZJsS,INT202505508
72,"Aalunnu Neeye","Rex Vijayan,Pradeep Kumar,Sithara Krishnakumar,Anwar Ali",118,5A,75,2026-02-07,03:42,40,"mollywood, malayalam pop, malayalam hip hop, tamil pop, kollywood","Rifle Club (Original Motion Picture Soundtrack)",2024-12-27,75,25,1,38,0,30,-7,C Minor,4,49GdrMFk7IRwU2KrCpEvHc,INT202405165
